Twitter_ID,Twitter_User,Creation_Date,Follower_Count,Friend_Count,Post_Count,Liked_Count,List_Count,Language,is_protected,is_verified
9.99E+17,NintendoLaboFR,1526983527,3014,0,10,0,5,en,0,1
9.99E+17,Zero21Dec,1526982877,5829,6,158,1,3,en,0,1
9.99E+17,GoogleCloud_IN,1526951259,368,90,94,276,1,en,0,1
9.99E+17,tver_fwc,1526909603,4898,66,89,2,36,ja,0,1
9.97E+17,ImKRUNKKK,1526633047,1323,7,25,1,1,en,0,1
9.97E+17,PUBGEsports,1526584590,17939,36,48,12,17,en,0,1
9.97E+17,paulwernick,1526574354,1667,101,28,40,13,en,0,1
9.97E+17,FTCPhillips,1526564000,608,188,39,11,13,en,0,1
9.99E+17,o2es,1526986868,2388,0,392,0,14,es,0,1
9.99E+17,sekirothegame,1527010311,6660,2,1,0,27,en,0,1
9.99E+17,RussTamblyn,1527106877,15593,3,72,102,49,en,0,1
9.99E+17,NSFOIG,1527089658,100,137,9,4,2,en,0,1
1.01E+18,MonsterSmallBiz,1528468369,27,0,427,3,0,en,0,1
1.00E+18,MillyShapiro,1528387580,590,55,81,415,1,en,0,1
1.00E+18,GMarquis45,1528379248,1739,237,6,0,24,en,0,1
9.83E+17,TheAthleticCBUS,1523301291,685,31,603,22,12,en,0,1
9.83E+17,realDustinClare,1523156873,785,0,0,0,0,en,0,1
9.83E+17,LancomeFR,1523268608,829,42,93,420,0,fr,0,1
9.83E+17,nikkei_hiramoto,1523269076,852,203,67,4,3,ja,0,1
9.83E+17,HereditaryUK,1523283559,711,6,140,403,2,en,0,1
9.94E+17,BeatrizGMuller,1525886524,83215,206,298,314,131,es,0,1
9.94E+17,Kent_Walker,1525887853,700,62,58,59,4,en,0,1
9.94E+17,ShaktiManch,1525804807,2670,5,1770,13,0,en,0,1
9.93E+17,JGallardo_17,1525645522,10854,34,68,253,31,en,0,1
9.97E+17,MTVCribs,1526596296,463,38,63,60,1,en,0,1
9.96E+17,JacobElordi,1526359709,80860,1,1,0,21,en,0,1
9.96E+17,NourActress,1526310177,28843,25,7,6,12,en,0,1
9.96E+17,sawadeeworldcup,1526302368,19580,16,2476,706,11,th,0,1
9.96E+17,onlyvote4bts,1526303782,0,3,409,0,0,en,0,0
9.96E+17,ratizzy7,1526303777,5,111,3,6,0,en,0,0
9.96E+17,Ewonke13,1526303774,614,2537,1114,2484,1,en,0,0
9.96E+17,yuzumoti__04,1526303765,121,121,518,569,7,ja,0,0
9.96E+17,mery_ula,1526303758,1,25,1,9,0,en,0,0
9.96E+17,ootanisyouheiga,1526303753,776,1320,980,139,0,ja,0,0
9.96E+17,emre35_yasin,1526303748,24,11,37,384,0,en,0,0
9.96E+17,Joky89493089,1526303745,81,96,139,148,0,es,0,0
9.96E+17,ogapi_kinkamu,1526303744,89,87,338,402,3,en,0,0
9.96E+17,mayooyeppo96x,1526303726,117,126,9648,4830,0,en,0,0
9.96E+17,js3729,1526303726,3,3,77,5,0,ko,0,0
9.96E+17,zahraquotes13,1526303725,73,22,829,240,0,en,0,0
9.96E+17,B_JINHARIM,1526303722,127,43,202,189,2,en,0,0
9.96E+17,lookmaimadeit,1526303716,3,6,18,65,0,en,0,0
9.96E+17,DjChik2,1526303715,21,327,17,10,0,en,0,0
9.96E+17,Juliana76984940,1526303713,11,49,435,409,0,en,0,0
9.96E+17,ok5550484410,1526303712,0,0,1,0,0,en,0,0
9.96E+17,AijazWa87505197,1526303710,0,23,9,5,0,en,0,0
9.96E+17,TinaP8521,1526303709,0,4,41,14,0,en,0,0
9.96E+17,dddoootttz,1526303704,32,37,15670,14972,0,en,0,0
9.96E+17,tFKDezcePUPHotM,1526303698,0,50,0,0,0,en,0,0
9.96E+17,karamel26512267,1526303697,522,1558,239,539,0,en,0,0
9.96E+17,Guadalu52795997,1526303685,2,11,48,45,0,en,0,0
9.96E+17,__920914__,1526303684,2,1,3,0,0,ko,0,0
9.96E+17,magnolias951,1526303680,0,31,0,14,0,fr,0,0
9.96E+17,ayookev19,1526303676,16,138,61,69,0,en,0,0
9.96E+17,Ravikantyadav59,1526303671,0,14,3,0,0,en,0,0
9.96E+17,RinE0218jhopeee,1526303660,285,791,707,924,0,en,0,0
9.96E+17,thehealunit,1526303657,339,80,2886,4066,6,en,0,0
9.96E+17,GuilleMesa1,1526303655,0,77,1,0,0,en,0,0
9.96E+17,MIXX_XM,1526303646,17,40,755,93,0,en,0,0
9.96E+17,blackxjenkim,1526303644,180,354,469,4,0,en,0,0
9.96E+17,BiologyHgs,1526303639,37,3,40,0,0,en,0,0
9.96E+17,viva_mim,1526303636,183,218,2931,732,0,ko,0,0
9.96E+17,Playboybarbi,1526303623,147,296,593,515,0,en,0,0
9.96E+17,_camis_20,1526303622,21,78,167,69,0,en,0,0
9.96E+17,o7NAlZ2h5FM115X,1526303608,45,264,23,179,0,en,0,0
9.96E+17,chanimoon7,1526303597,40,218,271,109,0,en,0,0
9.96E+17,Gabriel85277858,1526303595,2,24,3,5,0,en,0,0
9.96E+17,3rchsquad,1526303592,122,178,5422,505,0,en,0,0
9.96E+17,WorldVector,1526303592,1,8,8,0,0,en,0,0
9.96E+17,hesihesiyuyu,1526303583,2,7,73,50,0,en,0,0
9.96E+17,MeanStreamTeam,1526303577,8,113,30,71,0,en,0,0
9.96E+17,emilybenton23,1526303573,82,170,114,764,0,en,0,0
9.96E+17,UM_MYKW_,1526303570,167,177,968,1496,5,ja,0,0
9.96E+17,Costa78334846,1526303564,10,31,55,599,0,pt,0,0
9.96E+17,aasiskksihkaas1,1526303563,0,64,9,0,0,en,0,0
9.96E+17,elvis_erekosima,1526303562,46,187,39,12,0,en,0,0
9.96E+17,beautiful_2days,1526303557,30,49,30,11,0,ja,0,0
9.96E+17,u8oSjb0qqekmn1g,1526303557,1,15,40,2,0,en,0,0
9.96E+17,csexyporn,1526303540,7,30,202,5,0,en,0,0
9.96E+17,areumdawoy,1526303538,482,537,2968,327,1,id,0,0
9.96E+17,EiraPier,1526303534,20,58,460,1731,0,en,0,0
9.96E+17,stan3510,1526303530,1,42,19,97,0,en,0,0
